idx,ts_system,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad,basename,original_timestamp
78,78.000000000,map3d,camera,0.055819809,-0.019621566,1.738597631,0.003550760471,0.178283651764,-0.004544317833,0.983962235449,-0.008198110679,000078,55.090902788
79,79.000000000,map3d,camera,0.042543620,-0.020577112,1.761220694,0.002765507074,0.272909741602,-0.003279159614,0.962030078543,-0.005640040468,000079,55.797196414
80,80.000000000,map3d,camera,0.043982714,-0.021573152,1.769263029,0.003081342428,0.271410621577,-0.003304788876,0.962453042073,-0.005499019461,000080,56.503490039
81,81.000000000,map3d,camera,0.044958740,-0.021502551,1.762978077,0.003052652181,0.271243711776,-0.002777290347,0.962501852879,-0.004327017077,000081,57.209783665
82,82.000000000,map3d,camera,0.029328465,-0.021312810,1.795388818,0.003149101708,0.392908169748,0.000407652003,0.919572230509,0.004664508841,000082,57.916077290
83,83.000000000,map3d,camera,0.013896806,-0.019153519,1.792729855,0.005158741085,0.395181299623,-0.000204000411,0.918588638185,0.005384109914,000083,58.622370916
84,84.000000000,map3d,camera,0.021792710,-0.023199039,1.793381691,0.003117960271,0.394345313994,0.000836567025,0.918956664816,0.005800729265,000084,59.328664541
85,85.000000000,map3d,camera,0.001555085,-0.020174261,1.820334911,0.003968184721,0.538862537112,0.002624941708,0.842380275937,0.020746471881,000085,60.034958167
86,86.000000000,map3d,camera,-0.006209895,-0.018214846,1.820593357,0.005253536084,0.542639748781,0.001639921127,0.839947506729,0.020568458399,000086,60.741251792
87,87.000000000,map3d,camera,-0.002186045,-0.021115979,1.839468002,0.004035246914,0.540976834973,0.001887634361,0.841025693806,0.018183174684,000087,61.447545418
88,88.000000000,map3d,camera,-0.002566606,-0.026485858,1.834712505,0.003188719792,0.576274178576,0.003078411902,0.817244410536,0.025922888842,000088,62.153839043
89,89.000000000,map3d,camera,-0.000032932,-0.024532421,1.840144634,0.002978399337,0.576969663861,0.002281620039,0.816756959157,0.021432731574,000089,62.860132669
90,90.000000000,map3d,camera,-0.004347712,-0.020678954,1.835923791,0.003361142983,0.576539077085,0.002327634704,0.817059347556,0.022905947712,000090,63.566426294
91,91.000000000,map3d,camera,-0.012577146,-0.021260643,1.861945868,0.004572180566,0.632758022026,0.002925586458,0.774330563565,0.051740957061,000091,64.272719920
92,92.000000000,map3d,camera,-0.016648889,-0.015863409,1.854951024,0.005409394009,0.632036704596,0.002907824199,0.774914115924,0.056368641562,000092,64.979013545
93,93.000000000,map3d,camera,-0.017884791,-0.014803637,1.848719358,0.005505428032,0.631651343769,0.002893519257,0.775227642517,0.056575030326,000093,65.685307171
94,94.000000000,map3d,camera,-0.018574536,-0.016991720,1.863151550,0.004280872209,0.650377291178,0.002143099276,0.759596248266,0.057233503267,000094,66.391600796
95,95.000000000,map3d,camera,-0.022329301,-0.015428380,1.858498335,0.005269637857,0.650603844518,0.002614331913,0.759394517812,0.070459508287,000095,67.097894422
96,96.000000000,map3d,camera,-0.016547918,-0.004250356,1.858344436,0.006843937118,0.651484900034,0.000778392979,0.758630331358,0.066718964208,000096,67.804188047
97,97.000000000,map3d,camera,-0.001736932,-0.007680003,1.863438010,0.003944977575,0.654124907510,-0.000512302681,0.756376083752,0.030398344951,000097,68.510481673
98,98.000000000,map3d,camera,0.007740259,-0.009395365,1.877977490,0.006138097515,0.705678752402,0.001905515744,0.708502781348,1.230158202566,000098,69.216775298
99,99.000000000,map3d,camera,0.005857974,-0.007969102,1.886121392,0.006751422233,0.707362440080,0.001043156506,0.706818016526,1.636493086772,000099,69.923068924
