idx,stamp,x,y,yaw_rad
132,1781699094544.0,1.198223,-0.061053,0.0909228569999998
133,1781699094611.0,1.1987,-0.061006,0.09099093400000013
134,1781699094678.0,1.1987,-0.061006,0.09099093400000013
135,1781699094779.0,1.1987,-0.061006,0.09099093400000013
136,1781699094885.0,1.1987,-0.061006,0.09099093400000013
137,1781699094953.0,1.1987,-0.061006,0.09099093400000013
138,1781699095016.0,1.198607,-0.061019,0.09117772199999985
139,1781699095116.0,1.199217,-0.060969,0.07246510799999983
140,1781699095221.0,1.209,-0.060507,0.018178374000000108
141,1781699095288.0,1.209,-0.060507,0.018178374000000108
142,1781699095355.0,1.214793,-0.060407,0.01359840400000012
143,1781699095418.0,1.22952,-0.060495,-0.01160060499999993
144,1781699095519.0,1.23008,-0.060516,-0.022742507999999884
145,1781699095622.0,1.231151,-0.060532,-0.01064813599999992
146,1781699095691.0,1.231151,-0.060532,-0.01064813599999992
147,1781699095756.0,1.231151,-0.060532,-0.01064813599999992
148,1781699095829.0,1.231818,-0.06054,-0.010694603000000136
149,1781699095888.0,1.231818,-0.06054,-0.010694603000000136
150,1781699095955.0,1.231818,-0.06054,-0.010694603000000136
151,1781699096022.0,1.231818,-0.06054,-0.010694603000000136
152,1781699096089.0,1.231649,-0.060538,-0.010771651999999854
153,1781699096165.0,1.231903,-0.06054,-0.023012663999999905
154,1781699096224.0,1.231903,-0.06054,-0.023012663999999905
155,1781699096291.0,1.23682,-0.060676,-0.03375774399999987
156,1781699096359.0,1.243543,-0.060932,-0.04786717100000004
157,1781699096425.0,1.23409,-0.073918,-0.11255018100000003
158,1781699096500.0,1.23409,-0.073918,-0.11255018100000003
159,1781699096562.0,1.23409,-0.073918,-0.11255018100000003
160,1781699096631.0,1.23409,-0.073918,-0.11255018100000003
161,1781699096694.0,1.23409,-0.073918,-0.11255018100000003
162,1781699096761.0,1.23409,-0.073918,-0.11255018100000003
163,1781699096828.0,1.23409,-0.073918,-0.11255018100000003
164,1781699096903.0,1.23409,-0.073918,-0.11255018100000003
165,1781699096973.0,1.23409,-0.073918,-0.11255018100000003
166,1781699097031.0,1.23409,-0.073918,-0.11255018100000003
167,1781699097096.0,1.234283,-0.073943,-0.10990434800000015
168,1781699097165.0,1.234283,-0.073943,-0.10990434800000015
169,1781699097231.0,1.237156,-0.074302,-0.13232707799999988
170,1781699097298.0,1.243053,-0.075102,-0.1447803940000001
171,1781699097400.0,1.265027,-0.069609,-0.1557461149999999
172,1781699097511.0,1.267014,-0.069995,-0.1968845429999999
173,1781699097574.0,1.267014,-0.069995,-0.1968845429999999
